event_time,site_cam,session,path,modality,event_type,sensor_id,confidence,is_timelapse
2025-06-30 12:39:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630123902_0108.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:40:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124001_0110.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:40:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124001_0111.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:40:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124002_0112.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:41:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124101_0115.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:41:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124101_0114.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:41:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124102_0116.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:42:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124201_0118.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:42:01,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images\NSCF0002_250630124201_0119.JPG,camera,camera_image,TW01-CT02,,False
2025-06-30 12:42:02,TW01-CT02,SD02_20250630_20250703,thewilds_cameratraps_full\TW01-CT02\SD02_20250630_20250703\images_1\NSCF0002_250630124202_0120.JPG,camera,camera_image,TW01-CT02,,False
